,ref_id,breed_id,type,website,created_at,updated_at,city,state,bwh,club,parent_club,specialty_club,licensed_club,bloodline,small_size,medium_size,large_size,breed_options,males,females,expected_date,birth,age,breed
97,259002,48,listing,/breeder/kristin-brumit-89008/boxer/259002,2021-04-03 22:48:16,2021-04-15 00:00:09,Federal Way,WA,,,0,0,0,0,0,1,0,,6,0,,2021-03-04,6 weeks old,boxer
98,255202,221,listing,/breeder/irina-lang-103558/shih-tzu/255202,2021-02-28 22:50:30,2021-03-05 23:42:20,Seattle,WA,,,0,0,0,0,1,0,0,,2,2,,2021-02-02,10 weeks old,shih-tzu
99,258459,222,listing,/breeder/benskisiberians/siberian-husky/258459,2021-03-29 23:37:34,2021-03-30 00:32:41,Seattle,WA,,,0,0,0,0,0,1,0,,0,1,,2021-02-03,10 weeks old,siberian-husky
100,34823,45,storefront,/breeder/sedona-borzoi?source_breed=borzoi,2016-07-04 18:08:06,2019-12-31 16:24:56,Seattle,WA,,,0,0,0,0,0,0,1,,0,0,,,,borzoi
101,87044,74,storefront,/breeder/seattlechowchows?source_breed=chow-chow,2019-11-14 19:57:58,2020-11-16 20:55:35,Renton,WA,,,0,0,0,0,0,1,0,,0,0,,,,chow-chow
102,41276,171,storefront,/breeder/jac-dougher-41276?source_breed=newfoundland,2017-01-02 14:34:37,2021-03-22 15:33:57,Vashon,WA,,,0,0,0,0,0,0,1,,0,0,,,,newfoundland
103,46977,168,storefront,/breeder/porrazzo-schnauzer?source_breed=miniature-schnauzer,2017-05-30 01:07:34,2021-03-04 13:32:09,Pacific,WA,,,0,0,0,0,1,0,0,,0,0,,,,miniature-schnauzer
104,48146,117,storefront,/breeder/royaltyk9-vom-royalhaus-german-shepherds?source_breed=german-shepherd-dog,2017-06-21 11:29:49,2021-03-20 20:18:13,Seattle,WA,,,0,0,0,0,0,0,1,,0,0,,,,german-shepherd-dog
105,65132,117,storefront,/breeder/polarbearpuppies?source_breed=german-shepherd-dog,2018-07-31 12:16:27,2021-02-12 23:06:32,Seattle,WA,,,0,0,0,0,0,0,1,,0,0,,,,german-shepherd-dog
106,38855,35,storefront,/breeder/priderock?source_breed=bernese-mountain-dog,2016-10-25 14:33:33,2021-02-21 14:24:21,Lynnwood,WA,,,0,0,0,0,0,0,1,,0,0,,,,bernese-mountain-dog
